Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774290775,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774290776,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774290777,20,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1661.5843299950939,1599.0869289962575,1724.0817309939303,63.0
1774290778,30,,Aggregated,0.000000,0.000000,1700,1900,1900,2000,3000,3000,3000,3000,3000,3000,3000,10,0,1600.0,1501.067196099757,129.79196199739818,3023.405220003042,209.3
1774290779,40,,Aggregated,0.000000,0.000000,1200,1700,1900,1900,2100,2100,3000,3000,3000,3000,3000,26,0,1200.0,1241.336520654071,129.79196199739818,3023.405220003042,313.84615384615387
1774290780,50,,Aggregated,2.000000,0.000000,960,1200,1700,1700,2000,2100,3000,3000,3000,3000,3000,36,0,840.0,1027.2205408887708,129.79196199739818,3023.405220003042,296.8888888888889
1774290781,60,,Aggregated,5.250000,0.000000,710,1000,1200,1300,1900,2000,2100,3000,3000,3000,3000,61,0,710.0,841.5028327043296,122.35808099649148,3023.405220003042,306.5245901639344
1774290782,70,,Aggregated,5.600000,0.000000,530,960,1100,1200,1700,2000,2100,3000,3000,3000,3000,85,0,530.0,751.8947387173231,122.35808099649148,3023.405220003042,319.9764705882353
1774290783,80,,Aggregated,7.666667,0.000000,430,830,1000,1200,1600,2000,2100,3000,3000,3000,3000,100,0,430.0,681.7909546595183,122.35808099649148,3023.405220003042,311.06
1774290784,90,,Aggregated,10.142857,0.000000,430,760,1000,1200,1600,1900,2100,2100,3000,3000,3000,133,0,430.0,679.0176196010364,122.35808099649148,3023.405220003042,319.94736842105266
1774290785,100,,Aggregated,11.375000,0.000000,470,760,1000,1200,1600,1900,2000,2100,3000,3000,3000,155,0,470.0,691.1859954641137,122.35808099649148,3023.405220003042,323.1548387096774
1774290786,100,,Aggregated,12.777778,0.000000,470,810,1100,1200,1700,2000,2300,2400,3000,3000,3000,188,0,470.0,733.2078420848197,122.35808099649148,3023.405220003042,325.3191489361702
1774290787,100,,Aggregated,13.900000,0.000000,430,700,1000,1200,1700,2000,2300,2400,3000,3000,3000,220,0,430.0,701.2537410223475,122.35808099649148,3023.405220003042,332.5
1774290788,100,,Aggregated,16.700000,0.000000,430,630,940,1200,1700,2000,2300,2400,3000,3000,3000,245,0,430.0,684.8065754935045,122.35808099649148,3023.405220003042,332.7265306122449
1774290789,100,,Aggregated,19.900000,0.000000,440,620,900,1100,1700,2000,2300,2400,3000,3000,3000,278,0,440.0,686.7183641183892,122.35808099649148,3023.405220003042,333.85971223021585
1774290790,100,,Aggregated,23.000000,0.000000,450,630,830,1000,1700,1900,2300,2400,3000,3000,3000,309,0,450.0,677.143588786145,122.35808099649148,3023.405220003042,336.2718446601942
1774290791,100,,Aggregated,23.800000,0.000000,460,630,800,1000,1700,1900,2300,2400,3000,3000,3000,339,0,460.0,673.0977451797248,122.35808099649148,3023.405220003042,338.1592920353982
1774290792,100,,Aggregated,26.100000,0.000000,480,680,830,980,1700,2000,2300,2400,3000,3000,3000,371,0,480.0,694.6757318300363,122.35808099649148,3023.405220003042,338.60377358490564
